sample	signature	exposure	mutations
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS15	0.223284	201
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS6	0.125008	113
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS20	0.114956	104
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS54	0.0984864	89
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS21	0.0591888	53
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS17b	0.0506525	46
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS14	0.0379884	34
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS3	0.0286704	26
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS59	0.0271462	24
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS23	0.0239178	22
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS43	0.0219251	20
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS35	0.0201328	18
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS10b	0.0146399	13
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS42	0.0122864	11
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS49	0.00636847	6
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS32	0.00609795	6
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS24	0.00570822	5
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS84	0.00444307	4
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS7a	0.00435669	4
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS13	0.00387034	3
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS48	0.00342654	3
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS52	0.00228967	2
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS1	0.00226105	2
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS17a	0.00199289	2
TCGA-AA-3966-01A-01D-1981-10	COSMICv3-SBS11	0.00159273	1
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS1	0.294114	98
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS18	0.161183	54
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS6	0.0790041	26
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS39	0.0603776	20
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS15	0.0529204	18
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS10b	0.0500959	17
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS13	0.0430392	14
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS54	0.0374181	12
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS2	0.0261744	9
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS35	0.0230029	8
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS84	0.0226074	8
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS12	0.0223185	7
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS19	0.0164534	5
TCGA-AD-6901-01A-11D-1924-10	COSMICv3-SBS30	0.0147601	5
